CODE	UZ	RU	EN		
  social-history 	Ijtimoiy tarix	Социальная история	Social History	Обследования социального анамнеза позволяют определить профессиональный, личный (например, образ жизни), социальный, семейный и экологический анамнез пациента, а также факторы риска для здоровья, которые могут повлиять на здоровье пациента.	
vital-signs 	Hayotiy muhim ko‘rsatkichlar	Жизненно важные показатели	Vital Signs	Клинические обследования измеряют основные функции организма, такие как артериальное давление, частоту сердечных сокращений, частоту дыхания, рост, вес, индекс массы тела, окружность головы, пульсоксиметрию, температуру и площадь поверхности тела.	
imaging	Tasvirlash	Визуализация	Imaging	Обследования, полученные с помощью визуализации. Область действия включает наблюдения, касающиеся простой рентгенографии, УЗИ, КТ, МРТ, ангиографии, эхокардиографии и ядерной медицины.	
laboratory 	Laboratoriya	Лаборатория	Laboratory	Результаты обследования, полученные лабораториями	
procedure 	Muolaja	Процедура	Procedure	Обследования, сделанное в ходе процедуры, за исключением лабораторных исследований и визуализации (например, кардиологическая катетеризация, эндоскопия, электродиагностика и т. д.). Результаты процедуры обычно генерируются врачом для предоставления более подробной информации о компонентных наблюдениях, сделанных во время процедуры. Примером может служить сообщение гастроэнтерологом о размере полипа, обнаруженного во время колоноскопии.	
survey	So‘rov	Опрос/анкетирование	Survey	Инструмент оценки/инструмент обследования (например, оценка по шкале Апгар, Монреальская когнитивная оценка (MoCA)).	
exam	Klinik ko‘rik	Клинический осмотр	Exam	Обследования, полученные на основе результатов физического обследования, включая прямые наблюдения, сделанные врачом (осмотр кожи, легких и др.) а также результаты использования простых инструментов и простых маневров, выполненных непосредственно на теле пациента.	
therapy	Terapiya	Терапия	Therapy	Обследования, полученные с помощью протоколов неинтервенционного лечения (например, трудотерапия, физиотерапия, лучевая терапия, диетотерапия и медикаментозная терапия)	
 activity	Faollik	Активность	Activity	 Обследования, которые измеряют или регистрируют любую физическую активность, которая улучшает или поддерживает физическую форму и общее состояние здоровья и благополучия. Не под прямым наблюдением специалиста, например физиотерапевта. (например, плавание по кругу, шаги, данные о сне)	
